Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Digi-Key P/N
R1,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R11,120,Resistors_SMD:R_1206_HandSoldering,,311-120ERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-07120RL/311-120ERCT-ND/732162,
R5,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R7,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R9,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R2,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R6,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R8,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
R10,10k,Resistors_SMD:R_1206_HandSoldering,,311-10KERCT-ND,http://www.digikey.com/product-detail/en/yageo/RC1206JR-0710KL/311-10KERCT-ND/732156,
U5,AMC1100DWVR,custom:amc1100_SOIC,http://www.ti.com/lit/ds/symlink/amc1100.pdf,296-38822-5-ND,http://www.digikey.com/product-detail/en/texas-instruments/AMC1100DWV/296-38822-5-ND/5052622,
C8,330p,Capacitors_SMD:C_0603_HandSoldering,,311-1186-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603KRX7R9BB331/311-1186-1-ND/372899,
U6,ACPL-C870,custom:amc1100_SOIC,,	516-2578-5-ND,http://www.digikey.com/product-detail/en/broadcom-limited/ACPL-C870-000E/516-2578-5-ND/3523705,
U2,AZ1117CH-5.0TRG1,custom:SOT-223_cus,,AZ1117CH-5.0TRG1,http://www.digikey.com/product-detail/en/diodes-incorporated/AZ1117CH-5.0TRG1/AZ1117CH-5.0TRG1DICT-ND/4505207,
C2,10u,Capacitors_SMD:C_0603_HandSoldering,,490-3298-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60G106ME47D/490-3298-1-ND/702839,
C3,22u,Capacitors_SMD:C_0603_HandSoldering,,490-7611-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J226MEA0D/490-7611-1-ND/4280544,
R13,3k,Resistors_SMD:R_0603_HandSoldering,,311-3.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-073KL/311-3.0KGRCT-ND/729701,
J2,RJ12,custom:MOLEX_RJ11,,WM3789CT-ND,http://www.digikey.com/product-search/en?keywords=WM3789CT-ND,
U10,place_holder,custom:logo_lafayette_ece_24mmx9mm,
U11,place_holder,custom:lafLogo,
U12,place_holder,custom:rohs_symbol,
U13,place_holder,custom_footprints:Symbol_HighVoltage_Type2_FSilk_VerySmall,
U17,place_holder,Mounting_Holes:MountingHole_3.2mm_M3_Pad,
U16,place_holder,Mounting_Holes:MountingHole_3.2mm_M3_Pad,
U18,place_holder,Mounting_Holes:MountingHole_3.2mm_M3_Pad,
J1,CONN_01X02,custom:TerminalBlock_Pheonix_MPT-5.08mm_2pol,
R15,20k,Resistors_SMD:R_0603_HandSoldering,,311-20.0KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-0720KL/311-20.0KHRCT-ND/729987,
C5,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
J3,CONN_01X10,custom:TerminalBlock_Pheonix_MPT-5.08mm_10pol,
U3,MCP6001,custom:MCP6001_SOT_23-5,,MCP6001T-I/OTCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I%2FOT/MCP6001T-I%2FOTCT-ND/697158,
U8,MCP6001,custom_footprints:MCP6001_SOT_23-5,,MCP6001T-I/OTCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I%2FOT/MCP6001T-I%2FOTCT-ND/697158,
R26,4.99k,Resistors_SMD:R_0603_HandSoldering,,311-4.99KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-074K99L/311-4.99KHRCT-ND/730166,
C6,1u,Capacitors_SMD:C_2220_HandSoldering,,,http://www.digikey.com/product-detail/en/tdk-corporation/C5750X7R2E105K230KA/445-2304-1-ND/789813,445-2304-1-ND
U4,TLP2361,custom:FODM8701,,TLP2361(TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP2361(TPL,E/TLP2361(TPLECT-ND/5189799,
C4,1u,Capacitors_SMD:C_2220_HandSoldering,,,http://www.digikey.com/product-detail/en/tdk-corporation/C5750X7R2E105K230KA/445-2304-1-ND/789813,445-2304-1-ND
C7,1u,Capacitors_SMD:C_2220_HandSoldering,,,http://www.digikey.com/product-detail/en/tdk-corporation/C5750X7R2E105K230KA/445-2304-1-ND/789813,445-2304-1-ND
U1,RDD08110S12,custom:RDD08110S12,http://www.xppower.com/Portals/0/pdfs/SF_RDD08.pdf,1470-3083-5-ND,http://www.digikey.com/product-search/en?keywords=RDD08110S12,
R22,2k,Resistors_SMD:R_0603_HandSoldering,,311-2.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-072KL/311-2.0KGRCT-ND/729673,
R23,2k,Resistors_SMD:R_0603_HandSoldering,,311-2.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-072KL/311-2.0KGRCT-ND/729673,
R14,4.99k,Resistors_SMD:R_0603_HandSoldering,,311-4.99KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-074K99L/311-4.99KHRCT-ND/730166,
R16,2k,Resistors_SMD:R_0603_HandSoldering,,311-2.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-072KL/311-2.0KGRCT-ND/729673,
R17,2k,Resistors_SMD:R_0603_HandSoldering,,311-2.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-072KL/311-2.0KGRCT-ND/729673,
R19,4.99k,Resistors_SMD:R_0603_HandSoldering,,311-4.99KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-074K99L/311-4.99KHRCT-ND/730166,
R25,4.99k,Resistors_SMD:R_0603_HandSoldering,,311-4.99KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-074K99L/311-4.99KHRCT-ND/730166,
C9,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
C11,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
C14,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
C13,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
C12,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
C1,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
R12,2k,Resistors_SMD:R_0603_HandSoldering,,311-2.0KGRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603JR-072KL/311-2.0KGRCT-ND/729673,
U9,AZ1117CH-5.0TRG1,custom:SOT-223_cus,,AZ1117CH-5.0TRG1,http://www.digikey.com/product-detail/en/diodes-incorporated/AZ1117CH-5.0TRG1/AZ1117CH-5.0TRG1DICT-ND/4505207,
C18,10u,Capacitors_SMD:C_0603_HandSoldering,,490-3298-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60G106ME47D/490-3298-1-ND/702839,
C19,22u,Capacitors_SMD:C_0603_HandSoldering,,490-7611-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J226MEA0D/490-7611-1-ND/4280544,
C10,0.1u,Capacitors_SMD:C_0603_HandSoldering,,311-1343-1-ND,http://www.digikey.com/product-detail/en/yageo/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,
J4,CONN_01X05,,
